e1 gin gout
0.48000010 1.16169888 0.03970956
0.48000054 1.15894544 0.03971261
0.48000009 1.15593809 0.03970826
0.48000089 1.15560688 0.03970532
0.48000654 1.15842030 0.03968773
0.48000754 1.15699766 0.03969347
0.48000444 1.15468881 0.03969644
0.48000372 1.15633765 0.03969574
0.48000251 1.15597433 0.03970271
0.48000011 1.15558117 0.03966490
0.48000008 1.15605407 0.03969056
0.48000116 1.15593168 0.03970920
0.48000962 1.15804458 0.03975574
0.48000628 1.15710924 0.03977223
0.48000606 1.16178193 0.03976826
0.48000628 1.16199709 0.03976029
0.48000144 1.16322056 0.03973669
0.48000707 1.15828793 0.03970474
0.48001253 1.15688491 0.03971377
0.48000993 1.15734647 0.03972488
0.48001047 1.16155111 0.03976268
0.48000305 1.16030739 0.03975191
0.48000789 1.16285075 0.03976694
0.48000661 1.16245355 0.03974500
0.48000580 1.16073450 0.03974041
0.48000423 1.15894041 0.03973074
0.48001910 1.16080080 0.03972896
0.48001948 1.16110042 0.03972252
0.48000541 1.16015996 0.03973510
0.48000196 1.15967095 0.03972753
0.48000188 1.15666431 0.03970390
0.48000167 1.16046528 0.03973712
0.48000091 1.16125820 0.03973627
0.48000069 1.15937411 0.03971210
0.48000108 1.15792303 0.03970135
0.48000488 1.15839763 0.03971088
0.48000252 1.16000534 0.03971142
0.48000369 1.15913664 0.03972649
0.48000027 1.15917188 0.03972889
0.48000131 1.15667342 0.03972840
0.48000769 1.15773206 0.03972712
0.48000021 1.15754466 0.03968949
0.48000008 1.15558401 0.03969415
0.48000086 1.15551092 0.03971143
0.48000079 1.15926178 0.03971176
0.48000075 1.15800539 0.03969611
0.48000083 1.15318161 0.03970214
0.48000182 1.15987224 0.03972211
0.48000307 1.15947598 0.03973585
0.48000652 1.15985024 0.03973512
0.48000466 1.16104697 0.03973481
0.48000480 1.16222382 0.03977220
0.48000076 1.16049343 0.03972925
0.48000091 1.15960822 0.03971925
0.48000269 1.15739996 0.03970087
0.48000183 1.15796396 0.03971087
0.48000076 1.15889562 0.03971525
0.48001177 1.15723281 0.03970929
0.48000308 1.15502873 0.03972119
0.48000119 1.16087546 0.03972845
0.48000147 1.16096382 0.03974035
0.48000442 1.16060762 0.03973818
0.48000213 1.15959342 0.03973044
0.48000278 1.16003635 0.03974933
0.48000206 1.16216750 0.03973944
0.48000034 1.15666201 0.03972573
0.48000063 1.15559473 0.03972892
0.48000403 1.16122875 0.03973456
0.48000603 1.16073217 0.03972875
0.48000603 1.16032122 0.03972894
0.48000145 1.15762936 0.03972300
0.48000054 1.16092444 0.03973509
0.48000082 1.16247314 0.03974505
0.48000233 1.16298126 0.03976839
0.48000780 1.16328191 0.03977620
0.48000436 1.16347067 0.03976629
0.48000394 1.16420848 0.03974860
0.48000056 1.16300981 0.03976501
