"x","y","quant"
90805453.4962681,2.72695307348194e-08,"1"
90832667.6308106,2.77612577694875e-08,"1"
90859881.765353,2.82769493009945e-08,"1"
90887095.8998955,2.88241272210973e-08,"1"
90914310.0344379,2.94010459827272e-08,"1"
90941524.1689804,3.00040799911456e-08,"1"
90968738.3035229,3.06334815571695e-08,"1"
90995952.4380653,3.12925326320565e-08,"1"
91023166.5726078,3.19864375728294e-08,"1"
91050380.7071502,3.2706752393553e-08,"1"
91077594.8416927,3.34532064473922e-08,"1"
91104808.9762352,3.42254862363264e-08,"1"
91132023.1107776,3.50325370810732e-08,"1"
91159237.2453201,3.58644213441067e-08,"1"
91186451.3798625,3.67194546570282e-08,"1"
91213665.514405,3.75968212818902e-08,"1"
91240879.6489475,3.85002232818704e-08,"1"
91268093.7834899,3.94264850829894e-08,"1"
91295307.9180324,4.03704768667339e-08,"1"
91322522.0525748,4.13309954662281e-08,"1"
91349736.1871173,4.23079049716695e-08,"1"
91376950.3216598,4.33019626599762e-08,"1"
91404164.4562022,4.43066407487652e-08,"1"
91431378.5907447,4.53205295859558e-08,"2"
91458592.7252872,4.63422118460771e-08,"2"
91485806.8598296,4.7371322313928e-08,"2"
91513020.9943721,4.84036130691161e-08,"2"
91540235.1289145,4.94373193132767e-08,"2"
91567449.263457,5.04710500187442e-08,"2"
91594663.3979995,5.15025710027528e-08,"2"
91621877.5325419,5.25291102304068e-08,"2"
91649091.6670844,5.35498740531204e-08,"2"
91676305.8016268,5.45637034737693e-08,"2"
91703519.9361693,5.55689108885587e-08,"2"
91730734.0707118,5.65605412074783e-08,"2"
91757948.2052542,5.75408077260234e-08,"2"
91785162.3397967,5.8508960073323e-08,"2"
91812376.4743391,5.94642876975576e-08,"2"
91839590.6088816,6.04013639544152e-08,"2"
91866804.7434241,6.13226038345717e-08,"2"
91894018.8779665,6.22291145234641e-08,"2"
91921233.012509,6.31207394815724e-08,"2"
91948447.1470514,6.39947609603167e-08,"2"
91975661.2815939,6.4850441873987e-08,"2"
92002875.4161364,6.56918962334002e-08,"2"
92030089.5506788,6.65195979550729e-08,"2"
92057303.6852213,6.73337636956888e-08,"2"
92084517.8197637,6.81312611804565e-08,"2"
92111731.9543062,6.8918410494251e-08,"2"
92138946.0888487,6.9696322193877e-08,"2"
92166160.2233911,7.04661550251526e-08,"2"
92193374.3579336,7.12280613824619e-08,"2"
92220588.492476,7.19859761616671e-08,"2"
92247802.6270185,7.27423249603729e-08,"2"
92275016.761561,7.34988001215556e-08,"2"
92302230.8961034,7.42579626350733e-08,"2"
92329445.0306459,7.50242817137244e-08,"2"
92356659.1651884,7.57991215126369e-08,"2"
92383873.2997308,7.65844971776721e-08,"2"
92411087.4342733,7.73824399968245e-08,"2"
92438301.5688157,7.82033044546954e-08,"2"
92465515.7033582,7.90439600605117e-08,"2"
92492729.8379007,7.99063697066621e-08,"2"
92519943.9724431,8.07925385953757e-08,"2"
92547158.1069856,8.17124984342561e-08,"2"
92574372.241528,8.26669167697195e-08,"2"
92601586.3760705,8.36533261517337e-08,"2"
92628800.510613,8.46733352577285e-08,"2"
92656014.6451554,8.57329570596408e-08,"2"
92683228.7796979,8.68418757077503e-08,"2"
92710442.9142403,8.79901901698629e-08,"2"
92737657.0487828,8.91787831801495e-08,"2"
92764871.1833253,9.04084691940883e-08,"2"
92792085.3178677,9.16966067290856e-08,"2"
92819299.4524102,9.30286756779885e-08,"2"
92846513.5869526,9.4403234144992e-08,"2"
92873727.7214951,9.58201765089902e-08,"2"
92900941.8560376,9.72891241399691e-08,"2"
92928155.99058,9.8806611019674e-08,"2"
92955370.1251225,1.0036396287291e-07,"2"
92982584.259665,1.0196021151952e-07,"2"
93009798.3942074,1.03597444356127e-07,"2"
93037012.5287499,1.05282066744365e-07,"2"
93064226.6632923,1.06999873848222e-07,"2"
93091440.7978348,1.08749317178206e-07,"2"
93118654.9323772,1.10528818661204e-07,"2"
93145869.0669197,1.12345560322433e-07,"2"
93173083.2014622,1.14188253957165e-07,"2"
93200297.3360046,1.1605346116101e-07,"2"
93227511.4705471,1.17939490884684e-07,"2"
93254725.6050895,1.1984795630839e-07,"2"
93281939.739632,1.21775589269571e-07,"2"
93309153.8741745,1.23716958974855e-07,"2"
93336368.0087169,1.25670660339121e-07,"2"
93363582.1432594,1.27635829695218e-07,"2"
93390796.2778019,1.29612930962184e-07,"2"
93418010.4123443,1.31597042299176e-07,"2"
93445224.5468868,1.33587249204787e-07,"2"
93472438.6814292,1.3558267644278e-07,"2"
