"x","y","quant"
91144100.1070513,7.75895406321268e-08,"2"
91174589.4847077,7.94252740215371e-08,"2"
91205078.8623641,8.12636080142391e-08,"2"
91235568.2400205,8.31028421180165e-08,"2"
91266057.6176769,8.49416772169464e-08,"2"
91296546.9953333,8.67787433256138e-08,"2"
91327036.3729897,8.86109547375521e-08,"2"
91357525.7506461,9.043786495107e-08,"2"
91388015.1283025,9.22584918839781e-08,"2"
91418504.5059588,9.40719054821038e-08,"2"
91448993.8836152,9.58759697126451e-08,"2"
91479483.2612716,9.76684450809592e-08,"2"
91509972.638928,9.94507421807152e-08,"2"
91540462.0165844,1.0122238637202e-07,"2"
91570951.3942408,1.02982957399766e-07,"2"
91601440.7718972,1.04729229788888e-07,"2"
91631930.1495536,1.06462163379653e-07,"2"
91662419.52721,1.08183148553902e-07,"2"
91692908.9048664,1.09892141366227e-07,"2"
91723398.2825228,1.11589133100741e-07,"2"
91753887.6601792,1.13270043498449e-07,"2"
91784377.0378355,1.14938974551206e-07,"2"
91814866.4154919,1.16596286280369e-07,"2"
91845355.7931483,1.18242107454995e-07,"2"
91875845.1708047,1.19875583492922e-07,"2"
91906334.5484611,1.21494761389473e-07,"2"
91936823.9261175,1.23102885232483e-07,"2"
91967313.3037739,1.24699983384396e-07,"2"
91997802.6814303,1.26286057415118e-07,"2"
92028292.0590867,1.2785886529323e-07,"2"
92058781.4367431,1.29418424173365e-07,"2"
92089270.8143995,1.30966405154709e-07,"2"
92119760.1920559,1.325025207269e-07,"2"
92150249.5697123,1.3402644339155e-07,"2"
92180738.9473686,1.35533659402775e-07,"2"
92211228.325025,1.37026370518277e-07,"2"
92241717.7026814,1.38504796883407e-07,"2"
92272207.0803378,1.39968292870071e-07,"2"
92302696.4579942,1.41415453576248e-07,"2"
92333185.8356506,1.42840248544884e-07,"2"
92363675.213307,1.44246946823854e-07,"2"
92394164.5909634,1.45634698324139e-07,"2"
92424653.9686198,1.47002643404232e-07,"2"
92455143.3462762,1.48346549235647e-07,"2"
92485632.7239325,1.49663322430933e-07,"2"
92516122.1015889,1.5095668865365e-07,"2"
92546611.4792453,1.52225840128941e-07,"2"
92577100.8569017,1.53469994158821e-07,"2"
92607590.2345581,1.54681401753702e-07,"2"
92638079.6122145,1.55862829468313e-07,"2"
92668568.9898709,1.57016680406231e-07,"2"
92699058.3675273,1.5814254967683e-07,"2"
92729547.7451837,1.59240094853098e-07,"2"
92760037.1228401,1.6029856069851e-07,"2"
92790526.5004965,1.61328395838248e-07,"2"
92821015.8781529,1.62329906504603e-07,"2"
92851505.2558093,1.63303416943477e-07,"2"
92881994.6334656,1.64246561143004e-07,"2"
92912484.011122,1.65156344916045e-07,"2"
92942973.3887784,1.66041022170188e-07,"2"
92973462.7664348,1.66901683967776e-07,"2"
93003952.1440912,1.6773950912609e-07,"2"
93034441.5217476,1.68551792368603e-07,"2"
93064930.899404,1.69342519588943e-07,"2"
93095420.2770604,1.70116682207014e-07,"2"
93125909.6547168,1.70876024386072e-07,"2"
93156399.0323732,1.71622333713609e-07,"2"
93186888.4100296,1.72355111716503e-07,"2"
93217377.787686,1.7308025197706e-07,"2"
93247867.1653423,1.73800062447324e-07,"2"
93278356.5429987,1.74516309669608e-07,"2"
93308845.9206551,1.75230767383637e-07,"2"
93339335.2983115,1.75946215919139e-07,"2"
93369824.6759679,1.76664371935403e-07,"2"
93400314.0536243,1.77386278119274e-07,"2"
93430803.4312807,1.78112837745417e-07,"2"
93461292.8089371,1.78845815803904e-07,"2"
93491782.1865935,1.79585910919628e-07,"2"
93522271.5642499,1.80331711616977e-07,"2"
93552760.9419063,1.81082715174998e-07,"2"
93583250.3195627,1.81838226278521e-07,"2"
93613739.697219,1.82597474632161e-07,"2"
93644229.0748754,1.83357205603166e-07,"2"
93674718.4525318,1.84115052937571e-07,"2"
93705207.8301882,1.84868753296218e-07,"2"
93735697.2078446,1.85615707009346e-07,"2"
93766186.585501,1.86347570386583e-07,"2"
93796675.9631574,1.87063370355152e-07,"2"
93827165.3408138,1.87759704046911e-07,"2"
93857654.7184702,1.8843309165e-07,"2"
93888144.0961266,1.89075918009769e-07,"2"
93918633.473783,1.89677484193455e-07,"2"
93949122.8514394,1.9024079951048e-07,"2"
93979612.2290958,1.90762202691713e-07,"2"
94010101.6067521,1.91238075261833e-07,"2"
94040590.9844085,1.91652043915407e-07,"2"
94071080.3620649,1.92002731475721e-07,"2"
94101569.7397213,1.92294174032988e-07,"2"
94132059.1173777,1.92523552608095e-07,"2"
94162548.4950341,1.92688185084182e-07,"2"
94193037.8726905,1.92761382298175e-07,"2"
94223527.2503469,1.92760942812179e-07,"2"
94254016.6280033,1.92687488856458e-07,"2"
94284506.0056597,1.92539682317213e-07,"2"
94314995.3833161,1.92310470695448e-07,"2"
94345484.7609725,1.91982083546007e-07,"2"
94375974.1386288,1.91576509458454e-07,"2"
94406463.5162852,1.91093759965467e-07,"2"
94436952.8939416,1.90533992540705e-07,"2"
94467442.271598,1.89883599440414e-07,"3"
94497931.6492544,1.89143924201825e-07,"3"
94528421.0269108,1.88330174782578e-07,"3"
94558910.4045672,1.87443529497698e-07,"3"
94589399.7822236,1.86485268451895e-07,"3"
94619889.15988,1.85437236009911e-07,"3"
94650378.5375364,1.84317292846937e-07,"3"
94680867.9151928,1.83132651520446e-07,"3"
94711357.2928492,1.81885262264025e-07,"3"
94741846.6705056,1.80575360404947e-07,"3"
94772336.0481619,1.79188963761157e-07,"3"
94802825.4258183,1.77748965315039e-07,"3"
94833314.8034747,1.76257812816598e-07,"3"
94863804.1811311,1.74718006643205e-07,"3"
94894293.5587875,1.73126365316099e-07,"3"
94924782.9364439,1.71484008686861e-07,"3"
94955272.3141003,1.69804254659594e-07,"3"
94985761.6917567,1.6808998065659e-07,"3"
95016251.0694131,1.66344099067295e-07,"3"
95046740.4470695,1.64563959877787e-07,"3"
95077229.8247259,1.62758372557428e-07,"3"
95107719.2023823,1.60933746310634e-07,"3"
95138208.5800386,1.59093121212315e-07,"3"
95168697.957695,1.5723953200638e-07,"3"
95199187.3353514,1.5537470215411e-07,"3"
95229676.7130078,1.5350611677557e-07,"3"
95260166.0906642,1.51636654842908e-07,"3"
95290655.4683206,1.49769002036874e-07,"3"
95321144.845977,1.47906575334546e-07,"3"
95351634.2236334,1.460550306314e-07,"3"
95382123.6012898,1.44215044743926e-07,"3"
95412612.9789462,1.42388476186065e-07,"3"
95443102.3566026,1.40577055323567e-07,"3"
95473591.7342589,1.38786207724626e-07,"3"
95504081.1119153,1.37017502720877e-07,"3"
95534570.4895717,1.35268791524492e-07,"3"
95565059.8672281,1.33540656861964e-07,"3"
95595549.2448845,1.3183354102274e-07,"3"
95626038.6225409,1.30154231808467e-07,"3"
95656528.0001973,1.28497160569875e-07,"3"
95687017.3778537,1.26860601944937e-07,"3"
95717506.7555101,1.25244011391459e-07,"3"
95747996.1331665,1.23647609584978e-07,"3"
95778485.5108229,1.22074915596617e-07,"3"
