"T(GK)","mu","lwr1","lwr2","lwr3","upr1","upr2","upr3"
0.00533669923120631,3.27729520820993e-06,3.20378653600639e-06,3.07932922165863e-06,3.00956009665265e-06,3.35104327677969e-06,3.50564471646617e-06,3.57850965064533e-06
0.00585702081805667,1.08234582293711e-05,1.0580350842346e-05,1.01694562499181e-05,9.93870512364245e-06,1.10668150467129e-05,1.15769523587284e-05,1.18176569697454e-05
0.00642807311728432,3.44042341939517e-05,3.36305439141692e-05,3.23258914143146e-05,3.15912462694384e-05,3.51784396147767e-05,3.67985496935698e-05,3.75639229945661e-05
0.00705480231071864,0.000105383065347695,0.000103008258284865,9.90208076338943e-05,9.67666753312931e-05,0.000107759067695293,0.000112716942555405,0.000115062243991237
0.00774263682681127,0.000311421539587041,0.000304388115362068,0.000292632416580425,0.000285958988554835,0.000318457348161578,0.000333093756634708,0.000340027358793422
0.00849753435908645,0.000888847926929964,0.000868726055511042,0.000835257914719883,0.000816173815906539,0.000908986309197928,0.000950702575137918,0.000970501338236162
0.00932603346883221,0.00245293355959957,0.0023972060299587,0.00230509586043635,0.00225232201029913,0.00250863261119112,0.0026235640042688,0.00267822860963963
0.0102353102189903,0.00655204159909637,0.00640249752239837,0.00615718187431195,0.00601591242732242,0.00670104172200622,0.00700747796269705,0.00715356786298583
0.0112332403297803,0.0169545106727479,0.0165640144160938,0.0159295021493557,0.0155134299467239,0.0173411537732519,0.0181283862643752,0.0184456025265643
0.0123284673944207,0.0425526764772961,0.0415712492272166,0.0399811796124115,0.0389353556677959,0.0435245274872524,0.0454985109448715,0.0462934509721627
0.0135304777457981,0.103676086899854,0.101281336757534,0.0974136740433056,0.0948615470689154,0.106047711142055,0.1108523750557,0.112786011012987
0.0148496826225447,0.245439841532395,0.239760293500511,0.230621546129701,0.224569427911803,0.251063995480108,0.262426219167004,0.266995808438531
0.0162975083462065,0.565092756046037,0.55199561378712,0.530993251877511,0.517033729568437,0.578065479738215,0.6041951991874,0.614696203093993
0.0178864952905744,1.26644230381552,1.23703331503439,1.19006351473783,1.15871782402607,1.29550160146688,1.35405988669379,1.37754613468834
0.0196304065004027,2.7651244075089,2.70077798430679,2.59845967566545,2.52987842687232,2.82834059790761,2.95638902817729,3.00755637790511
0.0215443469003188,5.88668106483127,5.74937754352479,5.53209434981792,5.38576889761404,6.02062943310035,6.29377624735632,6.40245026579017
0.0236448941264541,12.22944586328,11.9434785571052,11.4933042608689,11.1885995991915,12.5063226064273,13.0749736412069,13.3001689528556
0.0259502421139974,24.8143699127229,24.2305876580183,23.3199397225474,22.7001668716374,25.3753582409653,26.5268559230806,26.983094834291
0.028480358684358,49.2119153662153,48.047926627748,46.2460554292142,45.0137396413756,50.3236550103754,52.5989918419654,53.5041184928665
0.0312571584968824,95.4534803254271,93.2010236644964,89.7050720554881,87.3079937283063,97.6079021369087,102.013742300887,103.770372155159
0.0343046928631492,181.217058652458,176.964147039746,170.318141265097,165.759835278473,185.307198032076,193.665598127445,197.003256749015
0.0376493580679247,337.061808125518,329.144124555297,316.757858741519,308.27518616513,344.612720076441,360.143586748885,366.356963274279
0.0413201240011534,614.566505497389,600.11648454215,577.484624372443,562.010155617188,628.223194188657,656.507631773787,667.849075372085
0.0453487850812858,1099.22084791567,1073.26047362572,1032.78004485817,1005.08778589328,1123.43423726894,1173.95537417066,1194.26926408519
0.0497702356433211,1930.02026390445,1883.96789038831,1813.15012676779,1764.502467044,1972.13170298684,2060.69632479832,2096.42610357187
0.0546227721768434,3328.90000105669,3248.60218546605,3126.9387306363,3042.98810094884,3400.78505684662,3553.25723639506,3615.01736824445
0.0599484250318941,5644.17483080901,5506.4595635382,5301.07055682749,5158.66117410867,5764.68357648498,6022.63595792066,6127.62765096968
0.0657933224657569,9412.78602119937,9182.77430847767,8840.23309660753,8602.60531867826,9612.44207360592,10041.2765401762,10216.9467973314
0.0722080901838547,15447.3100340851,15070.8827781406,14511.620781033,14121.329897109,15782.1793452301,16479.0960117907,16768.3630137731
0.0792482898353917,24972.2194685451,24373.9013572989,23464.7170993155,22833.3265976684,25514.422015785,26640.6025300777,27107.7386330865
0.0869749002617784,39810.7949304491,38848.7669335429,37398.6227543622,36391.9032107732,40653.5884022609,42450.0345210507,43193.5652689423
0.0954548456661834,62571.1903465732,61054.7774736397,58793.2891478715,57210.2296040549,63898.590734153,66716.7089028381,67881.9425061527
0.104761575278967,97060.872443998,94766.2275940075,91225.749618069,88769.1506367053,99158.5218141972,103494.81927363,105287.946109114
0.114975699539774,148723.836784662,145232.911790021,139797.868319079,136033.62359758,151952.022976618,158551.237444512,161272.652926671
0.126185688306602,225159.143863049,219927.306793712,211707.481721942,206008.877677764,230143.542804254,240015.551895436,244090.399221836
0.138488637139387,337136.774397376,329194.264227799,316998.199930039,308454.134391569,344458.623644582,359212.473686786,365233.539230987
0.151991108295293,499335.387347422,487606.054776419,469584.869630893,456801.01602514,509927.627511816,531726.72827239,540507.984978292
0.166810053720006,731452.988033494,714672.899792248,688443.5002865,669392.45066285,747274.661138472,778714.255405003,791355.782017353
0.183073828029537,1060570.4570647,1036291.99991693,998877.456253992,970660.284548125,1083318.92070429,1128439.05041697,1146403.16322649
0.200923300256505,1522354.03237419,1486879.80230916,1433004.31197702,1392799.0178779,1554091.10701907,1617948.20615531,1643145.36699822
0.220513073990305,2160826.94460807,2110647.26035306,2033947.10397399,1977382.69775174,2204768.0851548,2294705.84017841,2329587.43142785
0.242012826479438,3031737.17320073,2961153.89766068,2855233.07939247,2776437.05263455,3095323.8188869,3217882.13631029,3265535.46685542
0.265608778294669,4206544.50527972,4107659.9206336,3962000.29074877,3853146.19057033,4292441.52001609,4459178.60096472,4532134.6122613
0.291505306282518,5762191.35384071,5627547.31146655,5427732.08379694,5281428.40118523,5876958.75211876,6102504.55141686,6190804.57628561
0.319926713779738,7789554.92660551,7609406.73518986,7336979.51792616,7144931.24282044,7944635.43069919,8240252.73502071,8356386.59891652
0.351119173421513,10377478.6338184,10151193.6143591,9786954.18598541,9536606.00683106,10579353.2194276,10969658.5790916,11119429.400962
0.385352859371053,13628555.4600324,13331595.1777001,12865478.887277,12538222.949607,13884314.8658431,14395233.6066685,14575690.0554111
0.42292428743895,17604248.3166567,17217640.0181731,16629784.7117474,16217008.2155408,17932947.4183778,18610405.0016788,18810463.1991812
0.464158883361278,22385032.0290742,21901084.3698169,21141393.5941274,20641236.529019,22797801.8838856,23669223.0149689,23889094.2717142
0.509413801481638,27990459.4239611,27402754.5396463,26461962.9200628,25857508.375531,28522946.8726749,29604474.5241388,29847495.9545789
