"x","y","quant"
89328623.6828072,3.54508675869139e-09,"1"
89358064.8182852,3.76466779361522e-09,"1"
89387505.9537632,3.99157360174696e-09,"1"
89416947.0892412,4.22737903184952e-09,"1"
89446388.2247192,4.46976396222519e-09,"1"
89475829.3601972,4.71864647947972e-09,"1"
89505270.4956752,4.973944387588e-09,"1"
89534711.6311532,5.23727921017994e-09,"1"
89564152.7666312,5.50754653240013e-09,"1"
89593593.9021092,5.78389224328792e-09,"1"
89623035.0375872,6.06625000917889e-09,"1"
89652476.1730652,6.3550180878997e-09,"1"
89681917.3085432,6.65153438298232e-09,"1"
89711358.4440212,6.9538571009694e-09,"1"
89740799.5794992,7.26196619088951e-09,"1"
89770240.7149772,7.57584741311057e-09,"1"
89799681.8504552,7.89712980180578e-09,"1"
89829122.9859332,8.22490787721284e-09,"1"
89858564.1214112,8.5585374084894e-09,"1"
89888005.2568892,8.89806730718471e-09,"1"
89917446.3923672,9.24406683673315e-09,"1"
89946887.5278452,9.59809056209739e-09,"1"
89976328.6633232,9.95835077491417e-09,"1"
90005769.7988012,1.03249538648505e-08,"1"
90035210.9342792,1.06980108390364e-08,"1"
90064652.0697572,1.10796099446751e-08,"1"
90094093.2052352,1.1468841297709e-08,"1"
90123534.3407132,1.18650939041654e-08,"1"
90152975.4761912,1.22685106319757e-08,"1"
90182416.6116692,1.26799175462381e-08,"1"
90211857.7471472,1.31012617510616e-08,"1"
90241298.8826252,1.35304098889905e-08,"1"
90270740.0181032,1.39675087235512e-08,"1"
90300181.1535812,1.44127041229411e-08,"1"
90329622.2890592,1.48686454312609e-08,"1"
90359063.4245372,1.53340492961545e-08,"1"
90388504.5600152,1.58081514375643e-08,"1"
90417945.6954932,1.62910827230021e-08,"1"
90447386.8309712,1.67838485768085e-08,"1"
90476827.9664492,1.72886079850997e-08,"1"
90506269.1019272,1.7802736301162e-08,"1"
90535710.2374052,1.83263542090009e-08,"1"
90565151.3728832,1.88595825144152e-08,"1"
90594592.5083612,1.94055296846084e-08,"1"
90624033.6438392,1.99625055565919e-08,"1"
90653474.7793172,2.05296424195017e-08,"1"
90682915.9147952,2.11070792300206e-08,"1"
90712357.0502732,2.16960410928947e-08,"1"
90741798.1857512,2.22989559600111e-08,"1"
90771239.3212292,2.29128637505593e-08,"1"
90800680.4567072,2.35379542037905e-08,"1"
90830121.5921852,2.41744236388821e-08,"1"
90859562.7276632,2.48261549368915e-08,"1"
90889003.8631412,2.54911542376563e-08,"1"
90918444.9986192,2.616855213477e-08,"1"
90947886.1340972,2.68586205217974e-08,"1"
90977327.2695753,2.75630786593215e-08,"1"
91006768.4050532,2.82850394517954e-08,"1"
91036209.5405312,2.90210138614543e-08,"1"
91065650.6760093,2.97713514864503e-08,"1"
91095091.8114873,3.05364090883139e-08,"1"
91124532.9469652,3.13214911551843e-08,"1"
91153974.0824433,3.21239758011868e-08,"1"
91183415.2179213,3.29428820706494e-08,"1"
91212856.3533992,3.37786304657579e-08,"1"
91242297.4888773,3.4633673991254e-08,"1"
91271738.6243553,3.55120438118214e-08,"1"
91301179.7598333,3.64091913405572e-08,"1"
91330620.8953113,3.73255892082823e-08,"1"
91360062.0307893,3.82617150087736e-08,"1"
91389503.1662673,3.92247743387564e-08,"1"
91418944.3017453,4.02109841798032e-08,"1"
91448385.4372233,4.12191121897626e-08,"1"
91477826.5727013,4.22496880090573e-08,"1"
91507267.7081793,4.33060697055688e-08,"1"
91536708.8436573,4.43932799339648e-08,"1"
91566149.9791353,4.55053485423811e-08,"1"
91595591.1146133,4.66428572941419e-08,"1"
91625032.2500913,4.78063921873066e-08,"1"
