"T9","Adopted","Lower","Upper","data"
0.07,1.00116118928446,0.98423757112842,1.01774216090039,"presentI"
0.08,1.0005378447353,0.983447783329349,1.01719583883695,"presentI"
0.09,0.999649558904489,0.982658899755082,1.01626275441495,"presentI"
0.1,0.998964577419098,0.981993157667126,1.01554013182484,"presentI"
0.11,0.998318425616496,0.981354192551305,1.01492056363389,"presentI"
0.12,0.997584215564068,0.98069965144445,1.01387697827629,"presentI"
0.13,0.996768353464985,0.980068388601952,1.01302497095535,"presentI"
0.14,0.99601587915201,0.979257146964338,1.01224867436618,"presentI"
0.15,0.995233001660887,0.978599387072265,1.01147754119959,"presentI"
0.16,0.994678237770468,0.97796307945434,1.01117017459446,"presentI"
0.18,0.993958803854251,0.977467098141315,1.01049449778124,"presentI"
0.2,0.993294459684028,0.976959984188976,1.00976307780825,"presentI"
0.25,0.992568677202088,0.975982287196874,1.00878231411637,"presentI"
0.3,0.992160678203772,0.975849575318956,1.00868774068581,"presentI"
0.35,0.992885926098057,0.975728014682957,1.00925200110283,"presentI"
0.4,0.993736821216759,0.976372838185825,1.01048041256029,"presentI"
0.45,0.994705711032097,0.977494021033602,1.01132597487124,"presentI"
0.5,0.995017586407253,0.977402211794902,1.01171910906495,"presentI"
0.6,0.995076802092163,0.977649756040067,1.01290239241861,"presentI"
0.7,0.994896224908326,0.976910267286247,1.01263658265093,"presentI"
0.8,0.994304375481066,0.976292034002518,1.01193672226169,"presentI"
0.9,0.993511153468559,0.97545924999669,1.01115172968689,"presentI"
1,0.992365264510289,0.974208583927795,1.00995887168888,"presentI"
1.25,0.989113810374393,0.97115942022839,1.00653597059477,"presentI"
1.5,0.985116097625749,0.967407999382496,1.00288152418372,"presentI"
1.75,0.981135932046663,0.963804250516154,0.998344748260758,"presentI"
2,0.977355193969378,0.960401127288721,0.994290185201346,"presentI"
2.5,0.96947463968965,0.952673833959672,0.986098920521939,"presentI"
3,0.961890149554042,0.94535710788614,0.97821335864344,"presentI"
3.5,0.954838555856196,0.9383035566657,0.970917971465064,"presentI"
4,0.94799002067764,0.93113236828001,0.963312740023009,"presentI"
5,0.934874351479265,0.918373877825264,0.949863957599137,"presentI"
6,0.922346125387201,0.906680555417212,0.937262614726864,"presentI"
7,0.911409208141839,0.895944244523331,0.926477004935865,"presentI"
8,0.900589525013578,0.885403186458739,0.915065784166838,"presentI"
9,0.890269695191962,0.875484429483026,0.90435378036333,"presentI"
10,0.880435323738379,0.8657930991487,0.894522981865771,"presentI"
0.001,1,0.981675887535858,1.01690082958679,"presentII"
0.002,1,0.981659641168344,1.01685517907919,"presentII"
0.003,1,0.981657302365144,1.01681676707037,"presentII"
0.004,1,0.981637582366011,1.01677881315085,"presentII"
0.005,1,0.981607180197671,1.01678313281321,"presentII"
0.006,1,0.981631894513838,1.0168514599517,"presentII"
0.007,1,0.981655583271777,1.01691378556599,"presentII"
0.008,1,0.981667815688942,1.0168946455237,"presentII"
0.009,1,0.981666995797695,1.01681600549029,"presentII"
0.01,1,0.981654383759594,1.01678152880852,"presentII"
0.011,1,0.981639583596207,1.01675352356521,"presentII"
0.012,1,0.981652546270281,1.0168248358756,"presentII"
0.013,1,0.981675665618727,1.01690126690477,"presentII"
0.014,1,0.981712839771192,1.01698769666652,"presentII"
0.015,1,0.981716347726405,1.01703239880409,"presentII"
0.016,1,0.981712233454089,1.0170351536986,"presentII"
0.018,1,0.981725079902,1.01695385450864,"presentII"
0.02,1,0.981749445873238,1.01693550133527,"presentII"
0.025,1,0.981784139342141,1.01700416924066,"presentII"
0.03,1,0.981635546406468,1.01689457308614,"presentII"
0.04,1,0.981711998855693,1.0169091788937,"presentII"
0.05,1,0.981943964257055,1.01656840275593,"presentII"
0.06,1,0.981758402070889,1.01637854664445,"presentII"
0.07,1,0.981820742381482,1.01665909559679,"presentII"
0.08,1,0.982115743774176,1.01671720309182,"presentII"
0.09,1,0.982257810915291,1.01662003342069,"presentII"
0.1,1,0.982480569214952,1.01653813673162,"presentII"
0.11,1,0.982694372524132,1.01665980808743,"presentII"
0.12,1,0.982790781092503,1.0165635237273,"presentII"
0.13,1,0.982930921499257,1.01626995766781,"presentII"
0.14,1,0.983056400769633,1.01661667868917,"presentII"
0.15,1,0.982865198999472,1.01668535646804,"presentII"
0.16,1,0.982936691655529,1.01652351766017,"presentII"
0.18,1,0.983246871707985,1.01637682793685,"presentII"
0.2,1,0.983218522758117,1.0164844140162,"presentII"
0.25,1,0.982820999887614,1.01633463494157,"presentII"
0.3,1,0.98303492361685,1.01640792357405,"presentII"
0.35,1,0.983086950193971,1.01693669849371,"presentII"
0.4,1,0.983450436534634,1.01702327245424,"presentII"
0.45,1,0.98350067584671,1.0173093509285,"presentII"
0.5,1,0.98358845576767,1.01752385375204,"presentII"
0.6,1,0.983183464809989,1.01757892363012,"presentII"
0.7,1,0.983186688983847,1.01784287835282,"presentII"
0.8,1,0.98281850261069,1.01790551789154,"presentII"
0.9,1,0.982634512658214,1.01811908752336,"presentII"
1,1,0.982558913177311,1.01807248578159,"presentII"
1.25,1,0.982608548183441,1.01825400340674,"presentII"
1.5,1,0.98221918153563,1.01792573654655,"presentII"
1.75,1,0.981727926066986,1.0177002316026,"presentII"
2,1,0.981730711020206,1.01798475902261,"presentII"
2.5,1,0.981382827041334,1.01798859581872,"presentII"
3,1,0.982408037751392,1.0182019468174,"presentII"
3.5,1,0.981947129289375,1.01829986534608,"presentII"
4,1,0.981609095895917,1.01859921185493,"presentII"
5,1,0.981193745378839,1.01919972596944,"presentII"
6,1,0.980706080395154,1.0192507812775,"presentII"
7,1,0.980844170652835,1.02039672445685,"presentII"
8,1,0.980622148646492,1.02059887572151,"presentII"
9,1,0.980304370662554,1.02011860038323,"presentII"
10,1,0.979975417205774,1.01988883383093,"presentII"
